shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
AFG,0.0,0.36666667,0.0037200002,,,4.540098,1.0,0.0,,,,,,
AGO,1.0,0.13666667,0.95,5.3636365,7.770645,5.6347895,0.0,1.0,1.0,46.49,125.0,22.94133,0.118758,0.136667
ARE,0.0,0.26666668,0.0123,7.181818,9.804219,,1.0,0.0,,,,,,
ARG,0.0,0.37777779,0.0,6.3863635,9.133459,4.232656,0.0,0.0,1.0,72.89,21.8,17.1,0.123089,0.377778
ARM,0.0,0.44444445,0.0,,7.6824822,,1.0,0.0,,,,,,
AUS,0.0,0.3,0.0,9.318182,9.897972,2.1459312,0.0,1.0,1.0,78.25,5.6,20.9,0.198958,0.3
AUT,0.0,0.52444446,0.0,9.727273,9.974877,,0.0,0.0,,,,,,
AZE,0.0,0.44777778,0.0,,7.3065314,,1.0,0.0,,,,,,
BDI,1.0,0.036666665,0.95,,6.565265,5.6347895,0.0,1.0,,,,,,
BEL,0.0,0.5611111,0.0,9.681818,9.992871,,0.0,0.0,,,,,,
BEN,1.0,0.10333334,0.95,,7.090077,5.585449,0.0,1.0,,,,,,
BFA,1.0,0.14444445,0.95,4.4545455,6.84588,5.6347895,0.0,1.0,1.0,44.39,98.8,28.1,0.0,0.144444
BGD,0.0,0.26666668,0.12008,5.1363635,6.877296,4.268438,1.0,1.0,1.0,58.13,78.8,25.68621,0.401598,0.266667
BGR,0.0,0.47777778,0.0,8.909091,8.457443,,0.0,0.0,,,,,,
BHR,0.0,0.2888889,,8.0,9.685953,,1.0,0.0,,,,,,
BHS,0.0,0.26833332,,7.5,9.285448,4.4426513,0.0,1.0,1.0,,,,,
BIH,0.0,0.4888889,0.0,,,,0.0,0.0,,,,,,
BLR,0.0,0.5888889,0.0,,8.340456,,0.0,0.0,,,,,,
BLZ,0.0,0.19055556,0.012479999,,8.377932,5.095589,0.0,1.0,,,,,,
BOL,0.0,0.18888889,0.00165,5.6363635,7.9266024,4.26268,0.0,1.0,1.0,61.39,65.6,21.5,0.0,0.188889
BRA,0.0,0.11111111,0.036,7.909091,8.727454,4.26268,0.0,1.0,1.0,66.78,42.4,23.7,0.092516,0.111111
BRB,0.0,0.14555556,,,9.266721,4.4426513,0.0,1.0,,,,,,
BTN,0.0,0.3033333,0.41799998,,,,0.0,0.0,,,,,,
BWA,1.0,0.24444444,0.304,7.7272725,8.855093,,0.0,1.0,,,,,,
CAF,1.0,0.07777778,0.95,,7.192934,5.6347895,0.0,1.0,,,,,,
CAN,0.0,0.6666667,0.0,9.727273,9.986449,2.7788193,0.0,0.0,1.0,78.98,6.0,-0.2,0.021164,0.666667
CHE,0.0,0.5222222,0.0,10.0,10.120211,,0.0,0.0,,,,,,
CHL,0.0,0.33333334,0.0,7.818182,9.336092,4.232656,0.0,0.0,1.0,74.94,12.8,13.4,0.660182,0.333333
CHN,0.0,0.3888889,0.0138,7.7727275,7.886081,4.7706847,1.0,0.0,,,,,,
CIV,1.0,0.08888889,0.95,7.0,7.4442487,6.504288,0.0,1.0,1.0,46.72,87.3,26.0907,0.171056,0.088889
CMR,1.0,0.06666667,0.95,6.4545455,7.501082,5.6347895,0.0,1.0,1.0,54.73,74.4,24.43333,0.09824,0.066667
COG,1.0,0.011111111,0.95,4.681818,7.420579,5.480639,0.0,1.0,1.0,48.55,89.5,24.75151,0.047893,0.011111
COL,0.0,0.044444446,0.14637001,7.318182,8.809863,4.26268,0.0,1.0,1.0,70.43,30.0,22.5,0.159722,0.044444
COM,1.0,0.13444445,0.95,,7.3839893,,0.0,1.0,,,,,,
CPV,1.0,0.17777778,0.0,,7.979339,,0.0,1.0,,,,,,
CRI,0.0,0.11111111,0.0,7.0454545,8.794825,4.3579903,0.0,1.0,1.0,76.03,12.1,25.1,1.0,0.111111
CZE,0.0,0.54944444,0.0,8.863636,9.204322,,0.0,0.0,,,,,,
DEU,0.0,0.56666666,0.0,,9.935471,,0.0,0.0,,,,,,
DJI,1.0,0.12555556,0.95,,,3.2580965,0.0,1.0,,,,,,
DNK,0.0,0.62222224,0.0,9.727273,10.005592,,0.0,0.0,,,,,,
DOM,0.0,0.21111111,0.0,6.181818,8.364042,4.8675346,0.0,1.0,1.0,70.61,33.6,25.6,1.0,0.211111
DZA,1.0,0.31111112,0.0,6.5,8.389359,4.3592696,0.0,0.0,1.0,68.89,43.8,19.3,0.047186,0.311111
ECU,0.0,0.022222223,0.118949994,6.5454545,8.470101,4.26268,0.0,0.0,1.0,69.52,45.6,19.1,0.368411,0.022222
EGY,1.0,0.3,0.0,6.7727275,7.9515595,4.2165623,0.0,0.0,1.0,66.27,50.5,22.6,0.239163,0.3
ERI,1.0,0.16666667,0.73149997,,6.6200733,,0.0,1.0,,,,,,
ESP,0.0,0.44444445,0.0,9.681818,9.618468,,0.0,0.0,,,,,,
EST,0.0,0.65555555,0.0,,8.393895,,0.0,0.0,,,,,,
ETH,1.0,0.08888889,0.551,5.7272725,6.1092477,3.2580965,0.0,1.0,1.0,43.32,116.0,,0.021018,0.088889
FIN,0.0,0.7111111,0.0,9.727273,9.826066,,0.0,0.0,,,,,,
